Time,Volt_In,Volt_Out
2760404,0.65,197
2760407,0.7,213
2760410,0.75,229
2760413,0.81,246
2760417,0.86,263
2760420,0.92,281
2760423,0.98,299
2760426,1.04,317
2760430,1.1,336
2760433,1.16,355
2760436,1.22,374
2760440,1.28,393
2760443,1.35,413
2760446,1.41,433
2760449,1.47,452
2760453,1.53,472
2760456,1.6,492
2760459,1.67,512
2760462,1.73,532
2760466,1.8,552
2760469,1.86,572
2760472,1.93,592
2760475,1.99,612
2760479,2.05,631
2760482,2.12,650
2760485,2.18,669
2760488,2.24,688
2760492,2.3,707
2760495,2.36,725
2760498,2.42,743
2760501,2.48,761
2760505,2.53,778
2760508,2.58,795
2760511,2.64,811
2760514,2.69,827
2760518,2.74,843
2760521,2.79,858
2760524,2.83,872
2760528,2.88,886
2760531,2.92,899
2760534,2.96,912
2760537,3,924
2760541,3.04,936
2760544,3.08,946
2760547,3.11,957
2760550,3.14,966
2760554,3.17,975
2760557,3.19,983
2760560,3.21,990
2760563,3.24,997
2760567,3.25,1003
2760570,3.28,1008
2760573,3.29,1012
2760576,3.3,1016
2760580,3.3,1019
2760583,3.3,1021
2760586,3.3,1022
2760589,3.3,1022
2760593,3.3,1022
2760596,3.3,1021
2760599,3.3,1019
2760602,3.3,1017
2760606,3.29,1013
2760609,3.27,1009
2760612,3.26,1004
2760616,3.24,999
2760619,3.22,992
2760622,3.2,985
2760625,3.17,977
2760629,3.15,969
2760632,3.11,959
2760635,3.09,949
2760639,3.05,939
2760642,3.01,928
2760645,2.98,916
2760648,2.93,903
2760652,2.89,890
2760655,2.84,876
2760658,2.8,862
2760661,2.75,847
2760665,2.7,832
2760668,2.65,816
2760671,2.6,800
2760675,2.55,783
2760678,2.49,766
2760681,2.43,748
2760684,2.38,731
2760688,2.32,712
2760691,2.26,694
2760694,2.2,675
2760697,2.14,656
2760701,2.07,637
2760704,2.01,617
2760707,1.95,598
2760711,1.88,578
2760714,1.82,558
2760717,1.75,538
2760720,1.69,518
2760724,1.62,498
2760727,1.56,478
2760730,1.49,458
2760733,1.43,439
2760737,1.36,419
2760740,1.3,399
2760743,1.24,380
2760746,1.18,361
2760750,1.12,342
2760753,1.05,323
2760756,0.99,304
2760759,0.94,286
2760763,0.87,269
2760766,0.82,251
2760769,0.77,234
2760772,0.71,218
2760776,0.66,201
2760779,0.62,186
2760782,0.56,171
2760785,0.52,156
2760789,0.47,142
2760792,0.43,128
2760795,0.37,115
2760799,0.34,103
2760802,0.3,91
2760805,0.27,80
2760808,0.24,70
2760812,0.2,60
2760815,0.18,51
2760818,0.15,43
2760821,0.12,35
2760825,0.1,28
2760828,0.08,22
2760831,0.06,16
2760834,0.05,12
2760838,0.04,8
2760841,0.02,4
2760844,0.02,2
2760847,0.01,0
2760851,0.03,0
2760854,0.03,0
2760857,0.03,0
2760861,0.02,2
2760864,0.03,4
2760867,0.04,7
2760870,0.04,11
2760874,0.06,16
2760877,0.08,21
2760880,0.1,27
2760883,0.12,34
2760887,0.14,41
2760890,0.17,50
2760893,0.2,59
2760896,0.23,68
2760900,0.27,79
2760903,0.3,90
2760906,0.34,101
2760910,0.38,114
2760913,0.42,126
2760916,0.46,140
2760919,0.51,154
2760923,0.55,168
2760926,0.61,184
2760929,0.66,199
2760932,0.71,215
2760936,0.76,232
2760939,0.82,249
2760942,0.87,266
2760946,0.93,284
2760949,0.99,302
2760952,1.05,320
2760955,1.1,339
2760959,1.17,358
2760962,1.23,377
2760965,1.29,396
2760968,1.35,416
2760972,1.42,436
2760975,1.48,455
2760978,1.55,475
2760982,1.61,495
